Right,Left
2,1
4,3
6,5
9,8
11,10
14,13
16,15
18,17
20,19
22,21
25,24
27,26
29,28
31,30
33,32
35,34
37,36
41,40
47,46
49,48
51,50
55,54
57,56
63,59
64,60
65,61
66,62
71,67
72,68
73,69
74,70
80,75
81,76
82,77
83,78
84,79
88,85
89,86
90,87
92,91
96,93
97,94
98,95
103,99
104,100
105,101
106,102
107,110
108,111
109,112
116,113
117,114
118,115
123,119
124,120
125,121
126,122
130,127
131,128
132,129
139,133
140,134
141,135
142,136
143,137
144,138
152,145
153,146
154,147
155,148
156,149
157,150
158,151
166,159
167,160
168,161
169,162
170,163
171,164
172,165
175,173
176,174
181,177
182,178
183,179
184,180
