Name,JM18195_CT_2,JM11502_CT_1,JM14056_3D_2,JM4215_CT_3,JM4957_CT_1,JM19635_CT_3,JM10699_CT_2,JM4957_3D_3,JM12387_CT_2,JM18715_CT_3,JM12660_CT_2,JM12708_3D_3,JM4042_CT_3,JM12695_3D_1,JM4215_CT_2,JM18715_3D_2,JM12690_CT_3,JM19635_CT_1,JM3771_CT_3,JM12708_3D_2,JM10699_3D_1,JM15148_CT_3,JM14056_CT_3,JM11350_CT_2,JM15148_3D_2,JM11502_3D_1,JM13835_3D_3,JM3771_3D_2,JM2133_3D_1,JM12695_3D_3,JM19635_3D_2,JM12660_CT_3,JM15148_3D_3,JM4215_3D_2,JM12660_3D_3,JM12660_3D_1,JM2133_3D_2,JM12690_3D_2,JM12708_CT_3,JM11502_3D_3,JM12387_3D_1,JM14056_3D_3,JM14056_CT_2,JM10699_CT_3,JM11350_CT_3,JM12695_CT_1,JM4957_CT_3,JM4042_3D_1,JM12690_3D_1,JM11350_3D_1,JM12387_3D_2,JM11350_3D_2,JM18715_3D_1,JM12690_3D_3,JM12708_3D_1,JM3771_CT_2,JM4042_3D_2,JM11350_CT_1,JM13835_CT_1,JM4957_3D_2,JM4215_CT_1,JM18715_3D_3,JM12387_3D_3,JM18715_CT_2,JM12663_CT_3,JM18195_3D_3,JM4215_3D_3,JM19635_3D_1,JM12690_CT_2,JM14056_3D_1,JM11502_CT_2,JM12663_3D_3,JM18195_3D_2,JM12663_3D_2,JM12695_3D_2,JM10699_3D_2,JM4957_CT_2,JM3771_3D_1,JM15148_CT_1,JM4957_3D_1,JM2133_CT_3,JM15148_3D_1,JM2133_CT_2,JM11502_CT_3,JM18195_CT_3,JM10699_3D_3,JM12663_CT_2,JM12387_CT_3,JM13835_3D_1,JM12660_3D_2,JM19635_3D_3,JM10699_CT_1,JM4042_CT_1,JM12663_CT_1,JM12690_CT_1,JM14056_CT_1,JM12708_CT_2,JM12708_CT_1,JM18195_CT_1,JM2133_CT_1,JM12660_CT_1,JM15148_CT_2,JM12663_3D_1,JM13835_CT_2,JM13835_CT_3,JM19635_CT_2,JM4215_3D_1,JM12695_CT_3,JM3771_CT_1,JM13835_3D_2,JM12695_CT_2,JM2133_3D_3,JM4042_3D_3,JM18715_CT_1,JM4042_CT_2,JM12387_CT_1,JM11502_3D_2,JM11350_3D_3,JM3771_3D_3,JM18195_3D_1
X Zygo ant edge top DCUR L 4,10.36570663,7.691281891,-3.655521393,6.967651367,8.716586304,10.2000885,9.812301636,-9.664725494,9.935638428,11.24802933,10.03712845,-12.78253708,3.814582825,2.637483597,6.920467377,-4.123238373,6.862149811,10.22672958,10.87667542,-12.72665024,17.14969635,8.730406189,8.599336243,6.89093399,-5.146125793,0.465779686,3.070557404,-5.121774292,-1.976011276,2.71049614,6.86949234,10.12643661,-5.171668243,-6.255421066,-12.64283524,-12.55983963,-1.941030502,-12.33482742,9.794636536,0.472384644,-3.449755478,-3.674436951,8.563690948,9.79467926,6.858339691,7.404292297,8.707855225,6.240074921,-12.35613098,-13.60216827,-3.662953568,-13.67781525,-4.361843872,-12.32622681,-12.7090065,10.86316071,6.230883026,6.876673126,9.361329651,-9.497055054,6.988211823,-4.153654099,-3.709518433,11.21918716,12.02344055,-1.261666965,-6.244075394,7.16006546,6.960087585,-3.732284546,7.671265411,-11.55956421,-1.196169662,-11.52206116,2.707344246,17.29405212,8.718430328,-5.136619949,8.68801651,-9.53236084,9.10383606,-5.196229935,9.087597656,7.711508942,10.36147156,17.28872681,12.00054626,9.940908051,2.933950806,-12.6963295,7.061414337,9.756429291,3.806662369,12.03376541,6.821425629,8.608657837,9.761306,9.784376526,10.38970261,9.090036011,10.08696289,8.757860565,-11.53221054,9.324288177,9.367092896,10.2108078,-6.317492294,7.402207184,10.86340027,2.905426598,7.416187286,-1.94753437,6.271318817,11.20365295,3.818376541,9.955924225,0.577251244,-13.68177948,-5.139037704,-1.312175941
Y Zygo ant edge top DCUR L 4,10.49178314,10.23465958,-15.35656891,18.87397614,7.230246735,8.115885162,10.24346771,-9.076468658,10.52321472,10.50545425,9.465221405,-7.087426758,8.848301697,-16.21047516,18.85539093,-7.888763428,6.121166229,8.176959229,10.8317276,-7.051499176,-3.374109268,8.448416138,6.112556458,10.15895004,-14.94033051,-21.2350174,-10.03260345,-14.79034271,-11.04708405,-16.07840576,-17.42706146,9.52567749,-14.94176941,-19.1608902,-11.32832108,-11.20296783,-11.00998611,-17.88745728,8.420069885,-21.23398743,-11.86311188,-15.33313293,6.094986725,10.21242447,10.14001999,20.53984985,7.239073181,-15.02514191,-17.91370087,-10.31207581,-11.94447556,-10.2551796,-7.897721863,-17.78889465,-6.992848206,10.78488922,-14.95769043,10.16250687,9.968029785,-9.138658905,18.87185211,-7.90289917,-12.02936783,10.51647415,8.250096893,-3.497788239,-19.21512756,-17.36499634,6.195358658,-15.35109863,10.18009872,-10.34369049,-3.471641922,-10.37982101,-16.12413483,-3.410404587,7.239435577,-14.87103271,8.360684967,-9.091318512,10.57631531,-14.99840698,10.57010498,10.24166107,10.48375244,-3.423987198,8.220336151,10.53271408,-9.992987061,-11.39489517,-17.41293182,10.1835762,8.84570694,8.249642181,6.106140518,6.075606918,8.378829956,8.422073364,10.51875458,10.58012238,9.496513367,8.469314575,-10.37569351,9.935238647,9.99278183,8.135907745,-19.27823181,20.53724976,10.78944016,-9.960342407,20.52527924,-11.07509232,-15.04926453,10.41937485,8.860843658,10.55927734,-21.2866745,-10.26459351,-14.83758392,-3.497412491
Z Zygo ant edge top DCUR L 4,9.483650208,8.917453766,-19.03033752,9.941520691,6.326664734,8.117955017,8.929359436,-28.74413147,7.993818665,10.00992584,9.645491791,-30.85299072,7.628212738,-11.10764084,9.878523254,-24.04362946,9.719264984,8.131915283,7.707878113,-30.86585693,-11.52995758,10.70511398,5.305506516,12.88782959,-17.19376068,-15.48852844,-22.5329422,-19.01192017,-34.37960205,-11.11493988,-18.9062561,9.646240997,-17.13860931,-20.43815002,-27.32753601,-27.41354065,-34.32328796,-29.23890686,7.200150299,-15.48519897,-23.1254364,-18.94609375,5.293883896,8.905273438,12.87949982,6.578053284,6.509621429,-17.12325592,-29.18786011,-29.4835968,-23.08315277,-29.4698761,-24.12453461,-29.24411621,-30.8256958,7.75426712,-17.14571228,12.91182861,10.25233994,-28.83458862,9.989730072,-24.06871185,-23.07916565,10.07653046,8.732971191,-30.23673706,-20.41729736,-18.93652039,9.638605499,-18.98279114,8.872101593,-25.78196716,-30.18218079,-25.85049744,-11.12678146,-11.49864502,6.394516373,-19.01943207,10.52989349,-28.77371826,11.22355194,-17.07010193,11.24363403,8.90223465,9.512294006,-11.5343895,8.75440979,8.016846466,-22.54248962,-27.2931488,-19.03152161,8.928427887,7.626732635,8.79854126,9.730717468,5.406346512,7.226885986,7.18600769,9.54651947,11.20156784,9.696068573,10.66459885,-25.83971558,10.29056931,10.32966385,8.044941711,-20.30509949,6.589353943,7.7541008,-22.50872345,6.632460785,-34.36124878,-17.08388214,10.03709106,7.636182404,8.025527191,-15.51958618,-29.4630188,-19.04290009,-30.2565155
X Zygo ant edge top DCUR L 3,10.13879089,7.427540588,-4.190646362,7.30609436,8.478039551,9.855831146,9.529551697,-10.11101456,9.694295502,11.00883789,9.773381805,-13.29501495,3.636926651,2.297929573,7.296375275,-4.670346069,6.499889374,9.908000183,10.74182129,-13.18771973,17.54122925,8.424772644,8.230664063,6.596791077,-5.356539154,0.144363391,2.601654053,-5.316977692,-2.384376717,2.423960495,7.41048584,9.803787231,-5.368006134,-6.441217804,-13.13966064,-12.97004852,-2.361255455,-12.50193634,9.498976898,0.118903136,-3.962663651,-4.282251358,8.237335968,9.524668884,6.562342834,7.771433258,8.460569,6.214532089,-12.56056595,-14.05267792,-4.140996933,-14.09003754,-4.864343643,-12.46860046,-13.22103424,10.73862991,6.236847687,6.596904755,9.029669189,-10.11103439,7.299060059,-4.73548851,-4.134696579,10.99958572,11.78733826,-1.731221199,-6.422927856,7.564646149,6.582649994,-4.267134094,7.408198547,-11.91003265,-1.684436417,-11.90492325,2.398539734,17.6145813,8.46170578,-5.368121338,8.367582703,-10.07198868,8.843492889,-5.365431976,8.85358429,7.435636139,10.11894531,17.60973663,11.81121063,9.705601501,2.439946747,-13.16860046,7.537844086,9.501295471,3.632344437,11.82474136,6.470470428,8.252327728,9.466832733,9.476093292,10.14103928,8.84944458,9.794329834,8.452253723,-11.93535767,9.006629181,9.039081573,9.878796387,-6.517696381,7.772723389,10.74409561,2.379699707,7.775743866,-2.355545998,6.257545471,10.98592072,3.651379776,9.713298798,0.178325069,-14.14227448,-5.330085373,-1.766928482
Y Zygo ant edge top DCUR L 3,9.962953186,9.792639923,-15.33209686,19.27640076,6.805392456,7.698574066,9.743810272,-9.299282074,10.01591034,9.941056061,8.998334503,-6.881826782,8.437199402,-16.54303894,19.2689621,-7.849029541,5.78829155,7.735979462,10.35370483,-6.856356812,-3.496094894,8.045849609,5.748728943,9.810895538,-15.35905914,-21.15132751,-10.02995453,-15.20641479,-10.92648239,-16.45294189,-17.34676819,9.030193329,-15.38658905,-19.5348053,-11.2636055,-11.22250137,-10.8831459,-18.30295563,7.964707947,-21.1187561,-11.8415123,-15.27897949,5.745074081,9.718442535,9.759120178,20.86620636,6.750605774,-15.40851593,-18.35763092,-10.28509979,-11.82379608,-10.2562027,-7.774826813,-18.23696747,-6.85140152,10.27359085,-15.31695251,9.831060791,9.625382233,-9.322652435,19.25174713,-7.834429169,-11.94685898,9.921133423,7.81255722,-3.388830948,-19.53250275,-17.33725739,5.90562439,-15.2899765,9.716880035,-10.40498657,-3.405512619,-10.44610901,-16.45406647,-3.553369522,6.813684845,-15.33504333,8.008885956,-9.297671509,10.14390564,-15.36381073,10.16401901,9.79468689,9.931315613,-3.555468369,7.80687561,10.01712341,-9.946586609,-11.2751709,-17.38054657,9.676293945,8.438365936,7.873644257,5.75898056,5.669197464,7.966582489,7.97723465,10.0004921,10.14828949,8.96775589,8.03295517,-10.44689026,9.587621307,9.635505676,7.706712341,-19.58001251,20.89037933,10.3416008,-9.941686249,20.88032227,-10.88814621,-15.4336792,9.835160828,8.448904419,10.04550323,-21.28094025,-10.33151321,-15.29077759,-3.352427673
Z Zygo ant edge top DCUR L 3,9.584012604,8.897856903,-19.02770996,9.850826263,6.259020233,8.081612396,8.962846375,-28.55308228,8.048535156,10.09390793,9.738711548,-30.64357605,7.375243378,-10.88241348,9.76676178,-24.34832306,9.6198349,8.094612122,7.716618347,-30.6260376,-11.11302643,10.61666794,5.381067657,12.90862579,-16.90058441,-15.18225098,-22.75940247,-18.99319,-34.64466553,-10.94014893,-18.9407608,9.7556427,-16.85513458,-20.00899353,-27.09670105,-27.06431274,-34.56205139,-29.062854,7.191119385,-15.19389343,-23.02113495,-18.99064178,5.392681122,8.935455322,12.91793518,6.564121246,6.346712494,-16.77282257,-29.06989441,-29.2725647,-23.02442169,-29.22858887,-24.40032196,-29.13162231,-30.62119446,7.743538666,-16.82297821,12.93561401,10.25758667,-28.5721344,9.872180176,-24.39039764,-23.04181824,10.10383911,8.684358978,-30.62533569,-20.02910919,-18.90668945,9.617861176,-18.99788666,8.869015503,-25.56930389,-30.56441956,-25.62482605,-10.95442276,-11.1154213,6.323838043,-18.91278076,10.51086273,-28.57156677,11.18756256,-16.91763763,11.26291809,8.904049683,9.537509155,-11.1270813,8.709369659,8.084169769,-22.71530304,-27.09394531,-19.00576324,8.960188293,7.37828598,8.71724472,9.660316467,5.479979324,7.170848846,7.172268677,9.541142273,11.19406433,9.753578949,10.59095764,-25.61786804,10.24617767,10.32629242,8.08102951,-19.90702515,6.586859894,7.780382538,-22.70479584,6.577709198,-34.56142273,-16.75102081,10.0861412,7.365804291,8.070308685,-15.35067444,-29.24829712,-18.93805389,-30.60977173
X Zygo ant edge top DCUR L 2,10.03899002,7.29839325,-4.842232513,7.519552612,8.384144592,9.516156006,9.39553299,-10.71636658,9.594231415,10.935746,9.602713013,-13.81797028,3.579904556,1.834738922,7.510910797,-5.250003433,6.210542679,9.558841705,10.7690361,-13.70122375,17.81695251,8.189321899,7.912361145,6.421669006,-5.657522583,-0.370620489,2.072375298,-5.604620743,-2.75587368,1.964152336,7.935102844,9.579306793,-5.680208969,-6.856815338,-13.73675079,-13.51067657,-2.748991203,-12.94057922,9.197129059,-0.414478922,-4.546494293,-4.838412476,7.925222778,9.390117645,6.401194763,8.125259399,8.383682251,6.042953873,-12.93965454,-14.56771851,-4.650262451,-14.59836273,-5.452620316,-12.82476959,-13.7186203,10.79229736,6.005370331,6.42689209,8.933627319,-10.63615417,7.495924377,-5.304324341,-4.607871628,10.93065872,11.70487137,-2.300111389,-6.856060028,8.00009613,6.274927902,-4.8769104,7.289933014,-12.48606491,-2.21086731,-12.43853912,1.962057114,17.83756409,8.358180237,-5.751709366,8.194853973,-10.67736588,8.757151031,-5.704797363,8.788562012,7.301319885,10.00849915,17.83982697,11.75257797,9.598082733,1.919668579,-13.77681427,8.038795471,9.379949951,3.579009628,11.76966705,6.193810654,7.918133545,9.14783783,9.224570465,10.03368988,8.822886658,9.583883667,8.233398438,-12.45776672,8.80575943,8.824690247,9.53794632,-6.977342224,8.117971802,10.79533081,1.800405884,8.120946503,-2.752042198,6.040242386,10.9269722,3.59589119,9.580502319,-0.326535749,-14.70130005,-5.687010956,-2.271162415
Y Zygo ant edge top DCUR L 2,9.335675049,9.189329529,-15.01039734,19.82726898,6.233891678,7.274407959,9.187761688,-9.158924103,9.324000549,9.170141602,8.372688293,-6.430794525,7.933366394,-16.7752182,19.81116638,-7.609677124,5.264830399,7.292638397,9.827004242,-6.494904327,-3.705411911,7.484804535,5.258639526,9.270462799,-15.71481934,-21.09785614,-9.879409027,-15.62361603,-10.52995605,-16.71810608,-17.25006866,8.360218048,-15.72937775,-19.72204437,-11.0396225,-10.99070435,-10.53435364,-18.60195923,7.398947144,-21.01352234,-11.50461807,-14.97471771,5.325297165,9.100298309,9.166673279,21.29260254,6.224359512,-15.73852234,-18.75848846,-10.10228195,-11.45535736,-10.10102844,-7.442405701,-18.65219879,-6.474262238,9.728665161,-15.66325684,9.319429779,9.038509369,-9.244190979,19.75846863,-7.560137939,-11.62543335,9.182579803,7.262612915,-3.030568695,-19.74674377,-17.25928497,5.438256073,-14.93914032,9.087307739,-10.2418129,-3.100070953,-10.34459763,-16.72987823,-3.727754593,6.28900528,-15.83383331,7.417462158,-9.240439606,9.570539093,-15.74676666,9.561444855,9.188895416,9.239889526,-3.731470108,7.284234619,9.340525818,-9.786668396,-10.96186829,-17.30763397,9.093213654,7.910553741,7.364994049,5.202349091,5.15785408,7.331211853,7.416105652,9.376293182,9.546063995,8.374816132,7.433011627,-10.35046005,9.000951385,9.123181152,7.305922699,-19.7833725,21.39152679,9.716673279,-9.697399902,21.37809753,-10.48981094,-15.80096436,9.146294403,7.943197632,9.376961517,-21.04577484,-10.17826462,-15.75473022,-3.065382767
Z Zygo ant edge top DCUR L 2,9.563044739,8.824420929,-19.07443542,9.631150818,6.075008392,7.843096924,8.887766266,-28.41324463,7.995855713,10.05415878,9.715328979,-30.50722046,7.136494446,-10.59878082,9.612065125,-24.52998199,9.369657898,7.911916351,7.637770844,-30.49001465,-10.58795471,10.38446808,5.308495712,12.85734253,-16.35822601,-14.96777496,-22.9105545,-18.81204529,-35.0322876,-10.63960114,-18.74382629,9.683262634,-16.37332306,-19.62479553,-26.9464386,-26.88973389,-35.01243896,-28.91487122,6.954741669,-15.00256195,-23.02890167,-19.01100311,5.320110703,8.878005981,12.8205368,6.287207413,6.073633575,-16.32684326,-28.82727966,-29.08695984,-23.07330017,-29.08693848,-24.64736023,-28.93074036,-30.48714294,7.642073822,-16.43504486,12.92088776,10.15931702,-28.35447693,9.641795349,-24.59998932,-23.08070068,10.03190384,8.420697021,-30.89189758,-19.65176697,-18.78001099,9.421227264,-19.00524292,8.763626099,-25.49787292,-30.82844543,-25.46013031,-10.56401825,-10.5499527,6.070871353,-18.68865662,10.40704727,-28.35749512,11.19911728,-16.44884033,11.27091522,8.810175323,9.46676712,-10.58371887,8.473791504,8.011212158,-22.89519653,-26.90552979,-18.90128174,8.862116241,7.12767868,8.528106689,9.414080811,5.311932755,6.896289825,6.967144775,9.531362152,11.27742615,9.679801178,10.50266724,-25.46760254,10.21871719,10.2272934,7.896459198,-19.56836243,6.382799149,7.638982391,-22.9330368,6.349835587,-34.8680481,-16.2781311,9.922148132,7.117210388,7.981602478,-15.02853241,-29.14629822,-18.72337494,-30.92558899
X Zygo ant edge top DCUR L 1,10.02692642,7.257151794,-5.27408371,7.617795563,8.400883484,9.352055359,9.354146576,-11.16931686,9.602241516,11.07144089,9.457515717,-14.15514984,3.704140472,1.492771149,7.596783447,-5.663298035,6.05425148,9.372366333,10.8234642,-14.03944702,17.9306427,8.048206329,7.705366516,6.340796661,-5.955100632,-0.84169693,1.706293488,-5.831930161,-3.031479454,1.526429939,8.248203278,9.428414917,-6.003435135,-7.281046295,-14.19413757,-13.95676727,-2.998933983,-13.38069763,8.986893463,-0.902118015,-4.897425079,-5.258559418,7.733835602,9.35242157,6.331037521,8.352455139,8.400421143,5.848491287,-13.26934052,-14.98574219,-4.985395432,-15.03906097,-5.908951187,-13.14322357,-14.07288055,10.87977524,5.899258804,6.334858322,8.896220398,-11.18684464,7.578369904,-5.735225677,-4.972971344,11.05168915,11.67006226,-2.704368591,-7.285054779,8.30161438,6.133117294,-5.308917236,7.257185364,-12.96549683,-2.616355515,-12.86599274,1.557575703,17.92429657,8.383866882,-6.042721558,8.028746033,-11.17314758,8.816310883,-5.987147522,8.834792328,7.260099792,10.02036667,17.9300705,11.71184692,9.603729248,1.54473877,-14.20521393,8.364403534,9.35049057,3.737833786,11.72373352,6.027062988,7.6489151,8.956697845,8.954244232,10.0302536,8.903929901,9.451275635,8.093028259,-12.87538147,8.753656006,8.758190918,9.380445099,-7.374478912,8.356043243,10.88044205,1.423464203,8.346066284,-3.071265602,5.793229675,11.03449554,3.748830032,9.572418976,-0.860211277,-15.12177277,-5.922422409,-2.634117699
